next_stop_distance,total_waiting_time,wifi_count,honks,rsi,Signal,bus_stop,Turn,zone_highway,zone_market_place,zone_normal_city,time_level_1,time_level_2,time_level_3,time_level_4,Population_density_dense,Population_density_medium,Population_density_sparse,Weekend/day_Week-day,Weekend/day_Week-end,Congestion
1961.31820157,2,0,0,8.16653433333333,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
1366.03205276,2,0,0,8.16062006,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0
160.652899322,4,10,0,8.54048038571429,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
271.90679682,1,0,0,10.87397,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
52.2876596699,2,0,0,9.06914253333333,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
296.979535493,15,9,0,8.70311314285714,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
270.079163715,2,12,0,10.0619405,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0
75.8404224615,2,0,0,7.866455,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0
496.538594116,1,0,0,9.7546765,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
30.09161733,1,10,0,8.27466328333333,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0
295.67360652,40,11,0,8.80805181538462,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
149.067211902,5,3,0,9.04784092307692,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0
102.249677981,10,2,0,9.3442278125,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
484.647194933,2,0,0,8.36165883333333,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0
111.181133409,1,0,0,9.5260315,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
489.113719778,5,10,0,8.29342312222222,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0
369.089865651,1,0,0,8.842491,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
126.147109912,4,8,0,9.0220566,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
377.775854494,3,6,0,8.8846314,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0
932.920395865,2,0,0,8.719486375,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
32.6756084704,1,0,0,8.722778,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0
32.6756084704,0,0,0,10.611801,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0
